description,founded,franchising_since,industry,initial_investment,name,parent_company,ranking,ranking_last_year,units
"Printing, graphics, and marketing services",1973,1975,Business Services,$76K - $187K,Minuteman Press,Minuteman Press Int'l.,#102,Ranked #167 last year,"[{""year"":""2013"",""us"":""693"",""fgn"":229,""com"":""0"",""total"":922},{""year"":""2014"",""us"":""699"",""fgn"":232,""com"":""0"",""total"":931},{""year"":""2015"",""us"":""688"",""fgn"":247,""com"":""0"",""total"":935},{""year"":""2016"",""us"":""698"",""fgn"":258,""com"":""0"",""total"":956},{""year"":""2017"",""us"":""708"",""fgn"":257,""com"":""0"",""total"":965},{""year"":""2018"",""us"":""715"",""fgn"":251,""com"":""0"",""total"":966},{""year"":""2019"",""us"":""713"",""fgn"":254,""com"":""0"",""total"":967},{""year"":""2020"",""us"":""710"",""fgn"":257,""com"":""0"",""total"":967},{""year"":""2021"",""us"":""700"",""fgn"":256,""com"":""0"",""total"":956},{""year"":""2022"",""us"":""709"",""fgn"":258,""com"":""0"",""total"":967}]"
Real estate,,1975,Services (Other),$43K - $237K,RE/MAX,"9,120",#101,Ranked #130 last year,"[{""year"":""2013"",""us"":""3327"",""fgn"":3047,""com"":""24"",""total"":6398},{""year"":""2014"",""us"":""3452"",""fgn"":3299,""com"":""21"",""total"":6772},{""year"":""2015"",""us"":""3550"",""fgn"":3436,""com"":""0"",""total"":6986},{""year"":""2016"",""us"":""3632"",""fgn"":3585,""com"":""0"",""total"":7217},{""year"":""2017"",""us"":""3729"",""fgn"":3831,""com"":""0"",""total"":7560},{""year"":""2018"",""us"":""3777"",""fgn"":4208,""com"":""0"",""total"":7985},{""year"":""2019"",""us"":""3761"",""fgn"":4600,""com"":""0"",""total"":8361},{""year"":""2020"",""us"":""3646"",""fgn"":4759,""com"":""0"",""total"":8405},{""year"":""2021"",""us"":""3583"",""fgn"":5192,""com"":""0"",""total"":8775},{""year"":""2022"",""us"":""3520"",""fgn"":5600,""com"":""0"",""total"":9120}]"
Property damage restoration and remediation,1990,1991,Maintenance,$89K - $232K,PuroClean,PuroSystems LLC,#84,Ranked #97 last year,"[{""year"":""2013"",""us"":""198"",""fgn"":23,""com"":""0"",""total"":221},{""year"":""2014"",""us"":""190"",""fgn"":31,""com"":""0"",""total"":221},{""year"":""2015"",""us"":""198"",""fgn"":30,""com"":""0"",""total"":228},{""year"":""2016"",""us"":""197"",""fgn"":31,""com"":""0"",""total"":228},{""year"":""2017"",""us"":""203"",""fgn"":34,""com"":""2"",""total"":239},{""year"":""2018"",""us"":""229"",""fgn"":34,""com"":""0"",""total"":263},{""year"":""2019"",""us"":""247"",""fgn"":38,""com"":""0"",""total"":285},{""year"":""2020"",""us"":""273"",""fgn"":36,""com"":""0"",""total"":309},{""year"":""2021"",""us"":""286"",""fgn"":42,""com"":""0"",""total"":328},{""year"":""2022"",""us"":""333"",""fgn"":44,""com"":""0"",""total"":377}]"
Private security guard and patrol services,2003,2008,Services (Other),$93K - $241K,Signal,"Reed Nyffeler, Owner/CEO",#83,Ranked #98 last year,"[{""year"":""2013"",""us"":""288"",""fgn"":0,""com"":""13"",""total"":301},{""year"":""2014"",""us"":""327"",""fgn"":0,""com"":""20"",""total"":347},{""year"":""2015"",""us"":""336"",""fgn"":2,""com"":""21"",""total"":359},{""year"":""2016"",""us"":""366"",""fgn"":5,""com"":""8"",""total"":379},{""year"":""2017"",""us"":""371"",""fgn"":5,""com"":""0"",""total"":376},{""year"":""2018"",""us"":""399"",""fgn"":6,""com"":""0"",""total"":405},{""year"":""2019"",""us"":""420"",""fgn"":10,""com"":""0"",""total"":430},{""year"":""2020"",""us"":""512"",""fgn"":8,""com"":""0"",""total"":520},{""year"":""2021"",""us"":""685"",""fgn"":37,""com"":""0"",""total"":722},{""year"":""2022"",""us"":""927"",""fgn"":43,""com"":""0"",""total"":970}]"
Sandwiches,1983,1993,Food,$356K - $671K,Jimmy John's Gourmet Sandwiches,Inspire Brands,#82,Ranked #27 last year,"[{""year"":""2013"",""us"":""1744"",""fgn"":0,""com"":""28"",""total"":1772},{""year"":""2014"",""us"":""2043"",""fgn"":0,""com"":""38"",""total"":2081},{""year"":""2015"",""us"":""2238"",""fgn"":0,""com"":""48"",""total"":2286},{""year"":""2016"",""us"":""2574"",""fgn"":0,""com"":""62"",""total"":2636},{""year"":""2017"",""us"":""2657"",""fgn"":0,""com"":""63"",""total"":2720},{""year"":""2018"",""us"":""2737"",""fgn"":0,""com"":""56"",""total"":2793},{""year"":""2019"",""us"":""2763"",""fgn"":0,""com"":""55"",""total"":2818},{""year"":""2020"",""us"":""2682"",""fgn"":0,""com"":""42"",""total"":2724},{""year"":""2021"",""us"":""2695"",""fgn"":0,""com"":""41"",""total"":2736},{""year"":""2022"",""us"":""2616"",""fgn"":0,""com"":""41"",""total"":2657}]"
Urgent care/primary care centers,1982,2008,Health & Wellness,$1.1M - $1.5M,American Family Care,American Family Care,#81,Ranked #141 last year,"[{""year"":""2013"",""us"":""69"",""fgn"":0,""com"":""40"",""total"":109},{""year"":""2014"",""us"":""76"",""fgn"":0,""com"":""50"",""total"":126},{""year"":""2015"",""us"":""85"",""fgn"":0,""com"":""64"",""total"":149},{""year"":""2016"",""us"":""93"",""fgn"":0,""com"":""67"",""total"":160},{""year"":""2017"",""us"":""119"",""fgn"":0,""com"":""66"",""total"":185},{""year"":""2018"",""us"":""130"",""fgn"":0,""com"":""66"",""total"":196},{""year"":""2019"",""us"":""152"",""fgn"":0,""com"":""64"",""total"":216},{""year"":""2020"",""us"":""168"",""fgn"":0,""com"":""57"",""total"":225},{""year"":""2021"",""us"":""171"",""fgn"":0,""com"":""75"",""total"":246},{""year"":""2022"",""us"":""205"",""fgn"":0,""com"":""79"",""total"":284}]"
Math tutoring,,2003,Children's Businesses,$113K - $149K,Mathnasium,,#80,Ranked #95 last year,"[{""year"":""2013"",""us"":""391"",""fgn"":86,""com"":""6"",""total"":483},{""year"":""2014"",""us"":""469"",""fgn"":88,""com"":""10"",""total"":567},{""year"":""2015"",""us"":""574"",""fgn"":92,""com"":""11"",""total"":677},{""year"":""2016"",""us"":""690"",""fgn"":92,""com"":""11"",""total"":793},{""year"":""2017"",""us"":""746"",""fgn"":93,""com"":""13"",""total"":852},{""year"":""2018"",""us"":""815"",""fgn"":109,""com"":""13"",""total"":937},{""year"":""2019"",""us"":""900"",""fgn"":130,""com"":""17"",""total"":1047},{""year"":""2020"",""us"":""934"",""fgn"":134,""com"":""6"",""total"":1074},{""year"":""2021"",""us"":""927"",""fgn"":148,""com"":""7"",""total"":1082},{""year"":""2022"",""us"":""949"",""fgn"":156,""com"":""3"",""total"":1108}]"
"Lawn, tree, and shrub care; mosquito and tick control",1967,1967,Maintenance,$116K - $142K,Lawn Doctor,Lawn Doctor Inc.,#79,Ranked #83 last year,"[{""year"":""2013"",""us"":""455"",""fgn"":0,""com"":""0"",""total"":455},{""year"":""2014"",""us"":""482"",""fgn"":0,""com"":""0"",""total"":482},{""year"":""2015"",""us"":""509"",""fgn"":0,""com"":""0"",""total"":509},{""year"":""2016"",""us"":""530"",""fgn"":0,""com"":""0"",""total"":530},{""year"":""2017"",""us"":""537"",""fgn"":0,""com"":""0"",""total"":537},{""year"":""2018"",""us"":""568"",""fgn"":0,""com"":""0"",""total"":568},{""year"":""2019"",""us"":""583"",""fgn"":0,""com"":""0"",""total"":583},{""year"":""2020"",""us"":""592"",""fgn"":0,""com"":""0"",""total"":592},{""year"":""2021"",""us"":""606"",""fgn"":0,""com"":""0"",""total"":606},{""year"":""2022"",""us"":""625"",""fgn"":0,""com"":""0"",""total"":625}]"
Wellness services,2014,2016,Personal-Care Businesses,$642K - $1.2M,Restore Hyper Wellness,"Jim Donnelly, CEO",#78,Ranked #152 last year,"[{""year"":""2016"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2017"",""us"":""1"",""fgn"":0,""com"":""5"",""total"":6},{""year"":""2018"",""us"":""5"",""fgn"":0,""com"":""6"",""total"":11},{""year"":""2019"",""us"":""18"",""fgn"":0,""com"":""7"",""total"":25},{""year"":""2020"",""us"":""53"",""fgn"":0,""com"":""9"",""total"":62},{""year"":""2021"",""us"":""87"",""fgn"":0,""com"":""9"",""total"":96},{""year"":""2022"",""us"":""138"",""fgn"":0,""com"":""17"",""total"":155}]"
Property and casualty insurance,2003,2011,Financial Services,$40K - $119K,Goosehead Insurance,"Mark Jones, Chairman & CEO",#77,Ranked #54 last year,"[{""year"":""2014"",""us"":""79"",""fgn"":0,""com"":""0"",""total"":79},{""year"":""2015"",""us"":""125"",""fgn"":0,""com"":""0"",""total"":125},{""year"":""2016"",""us"":""190"",""fgn"":0,""com"":""0"",""total"":190},{""year"":""2017"",""us"":""292"",""fgn"":0,""com"":""0"",""total"":292},{""year"":""2018"",""us"":""341"",""fgn"":0,""com"":""0"",""total"":341},{""year"":""2019"",""us"":""535"",""fgn"":0,""com"":""0"",""total"":535},{""year"":""2020"",""us"":""748"",""fgn"":0,""com"":""0"",""total"":748},{""year"":""2021"",""us"":""1072"",""fgn"":0,""com"":""0"",""total"":1072},{""year"":""2022"",""us"":""1344"",""fgn"":0,""com"":""0"",""total"":1344}]"
Tanning,1990,2001,Personal-Care Businesses,$630K - $932K,Palm Beach Tan,Palm Beach Tan,#76,Ranked #80 last year,"[{""year"":""2013"",""us"":""169"",""fgn"":0,""com"":""153"",""total"":322},{""year"":""2014"",""us"":""232"",""fgn"":0,""com"":""174"",""total"":406},{""year"":""2015"",""us"":""241"",""fgn"":0,""com"":""183"",""total"":424},{""year"":""2016"",""us"":""234"",""fgn"":0,""com"":""183"",""total"":417},{""year"":""2017"",""us"":""257"",""fgn"":0,""com"":""189"",""total"":446},{""year"":""2018"",""us"":""265"",""fgn"":0,""com"":""199"",""total"":464},{""year"":""2019"",""us"":""314"",""fgn"":0,""com"":""227"",""total"":541},{""year"":""2020"",""us"":""319"",""fgn"":0,""com"":""223"",""total"":542},{""year"":""2021"",""us"":""317"",""fgn"":0,""com"":""220"",""total"":537},{""year"":""2022"",""us"":""329"",""fgn"":0,""com"":""217"",""total"":546},{""year"":""2023"",""us"":""400"",""fgn"":0,""com"":""251"",""total"":651}]"
Hotels,1968,2000,Lodging,$4M - $14.1M,La Quinta by Wyndham,Wyndham Hotels & Resorts,#75,Ranked #159 last year,"[{""year"":""2014"",""us"":""506"",""fgn"":9,""com"":""353"",""total"":868},{""year"":""2015"",""us"":""517"",""fgn"":9,""com"":""352"",""total"":878},{""year"":""2016"",""us"":""554"",""fgn"":14,""com"":""322"",""total"":890},{""year"":""2017"",""us"":""571"",""fgn"":16,""com"":""317"",""total"":904},{""year"":""2018"",""us"":""576"",""fgn"":16,""com"":""316"",""total"":908},{""year"":""2019"",""us"":""584"",""fgn"":16,""com"":""314"",""total"":914},{""year"":""2020"",""us"":""640"",""fgn"":17,""com"":""271"",""total"":928},{""year"":""2021"",""us"":""710"",""fgn"":18,""com"":""209"",""total"":937},{""year"":""2022"",""us"":""769"",""fgn"":16,""com"":""137"",""total"":922}]"
Burgers,1945,1984,Food,$1.3M - $2.3M,Carl's Jr.,CKE Restaurants Holdings Inc.,#74,Ranked #102 last year,"[{""year"":""2013"",""us"":""706"",""fgn"":266,""com"":""428"",""total"":1400},{""year"":""2014"",""us"":""700"",""fgn"":298,""com"":""437"",""total"":1435},{""year"":""2015"",""us"":""913"",""fgn"":344,""com"":""238"",""total"":1495},{""year"":""2016"",""us"":""1033"",""fgn"":390,""com"":""122"",""total"":1545},{""year"":""2017"",""us"":""1088"",""fgn"":448,""com"":""80"",""total"":1616},{""year"":""2018"",""us"":""1098"",""fgn"":491,""com"":""52"",""total"":1641},{""year"":""2019"",""us"":""1065"",""fgn"":543,""com"":""48"",""total"":1656},{""year"":""2020"",""us"":""1036"",""fgn"":558,""com"":""59"",""total"":1653},{""year"":""2021"",""us"":""1025"",""fgn"":578,""com"":""56"",""total"":1659},{""year"":""2022"",""us"":""1020"",""fgn"":602,""com"":""54"",""total"":1676},{""year"":""2023"",""us"":""1020"",""fgn"":645,""com"":""48"",""total"":1713}]"
Upscale hotels,2016,2016,Lodging,$3.1M - $118M,Tapestry Collection by Hilton,Hilton,#73,Ranked #137 last year,"[{""year"":""2017"",""us"":""4"",""fgn"":0,""com"":""0"",""total"":4},{""year"":""2018"",""us"":""9"",""fgn"":0,""com"":""0"",""total"":9},{""year"":""2019"",""us"":""23"",""fgn"":0,""com"":""0"",""total"":23},{""year"":""2020"",""us"":""34"",""fgn"":2,""com"":""0"",""total"":36},{""year"":""2021"",""us"":""59"",""fgn"":6,""com"":""0"",""total"":65},{""year"":""2022"",""us"":""72"",""fgn"":15,""com"":""0"",""total"":87}]"
Automotive tools and equipment,1938,2011,Retail,$121K - $341K,Mac Tools,Stanley Black and Decker,#72,Ranked #78 last year,"[{""year"":""2013"",""us"":""432"",""fgn"":204,""com"":""6"",""total"":642},{""year"":""2014"",""us"":""526"",""fgn"":222,""com"":""5"",""total"":753},{""year"":""2015"",""us"":""572"",""fgn"":228,""com"":""13"",""total"":813},{""year"":""2016"",""us"":""606"",""fgn"":277,""com"":""37"",""total"":920},{""year"":""2017"",""us"":""693"",""fgn"":355,""com"":""20"",""total"":1068},{""year"":""2018"",""us"":""695"",""fgn"":438,""com"":""8"",""total"":1141},{""year"":""2019"",""us"":""692"",""fgn"":432,""com"":""1"",""total"":1125},{""year"":""2020"",""us"":""707"",""fgn"":415,""com"":""1"",""total"":1123},{""year"":""2021"",""us"":""730"",""fgn"":377,""com"":""1"",""total"":1108},{""year"":""2022"",""us"":""760"",""fgn"":371,""com"":""0"",""total"":1131}]"
Automotive tools and equipment,,1997,Retail,$60K - $278K,Cornwell Quality Tools,,#71,Ranked #72 last year,"[{""year"":""2013"",""us"":""564"",""fgn"":0,""com"":""0"",""total"":564},{""year"":""2014"",""us"":""552"",""fgn"":0,""com"":""0"",""total"":552},{""year"":""2015"",""us"":""592"",""fgn"":0,""com"":""0"",""total"":592},{""year"":""2016"",""us"":""642"",""fgn"":0,""com"":""0"",""total"":642},{""year"":""2017"",""us"":""643"",""fgn"":0,""com"":""0"",""total"":643},{""year"":""2018"",""us"":""689"",""fgn"":0,""com"":""0"",""total"":689},{""year"":""2019"",""us"":""698"",""fgn"":0,""com"":""0"",""total"":698},{""year"":""2020"",""us"":""705"",""fgn"":0,""com"":""0"",""total"":705},{""year"":""2021"",""us"":""756"",""fgn"":0,""com"":""0"",""total"":756},{""year"":""2022"",""us"":""789"",""fgn"":0,""com"":""0"",""total"":789}]"
"Frozen custard, steakburgers, hot dogs",2002,2004,Food,$794K - $2.3M,Freddy's Frozen Custard & Steakburgers,"Chris Dull, President & CEO",#70,Ranked #59 last year,"[{""year"":""2013"",""us"":""85"",""fgn"":0,""com"":""10"",""total"":95},{""year"":""2014"",""us"":""107"",""fgn"":0,""com"":""12"",""total"":119},{""year"":""2015"",""us"":""146"",""fgn"":0,""com"":""14"",""total"":160},{""year"":""2016"",""us"":""220"",""fgn"":0,""com"":""14"",""total"":234},{""year"":""2017"",""us"":""249"",""fgn"":0,""com"":""18"",""total"":267},{""year"":""2018"",""us"":""287"",""fgn"":0,""com"":""24"",""total"":311},{""year"":""2019"",""us"":""322"",""fgn"":2,""com"":""27"",""total"":351},{""year"":""2020"",""us"":""353"",""fgn"":3,""com"":""30"",""total"":386},{""year"":""2021"",""us"":""372"",""fgn"":0,""com"":""34"",""total"":406},{""year"":""2022"",""us"":""414"",""fgn"":0,""com"":""29"",""total"":443}]"
Infant and child swimming lessons,2006,2008,Children's Businesses,$1.7M - $3.7M,Goldfish Swim School,Goldfish Swim School Franchising LLC,#69,Ranked #53 last year,"[{""year"":""2013"",""us"":""9"",""fgn"":0,""com"":""1"",""total"":10},{""year"":""2014"",""us"":""13"",""fgn"":0,""com"":""1"",""total"":14},{""year"":""2015"",""us"":""22"",""fgn"":0,""com"":""1"",""total"":23},{""year"":""2016"",""us"":""34"",""fgn"":0,""com"":""1"",""total"":35},{""year"":""2017"",""us"":""45"",""fgn"":0,""com"":""1"",""total"":46},{""year"":""2018"",""us"":""68"",""fgn"":1,""com"":""1"",""total"":70},{""year"":""2019"",""us"":""88"",""fgn"":1,""com"":""1"",""total"":90},{""year"":""2020"",""us"":""105"",""fgn"":2,""com"":""1"",""total"":108},{""year"":""2021"",""us"":""117"",""fgn"":2,""com"":""1"",""total"":120},{""year"":""2022"",""us"":""130"",""fgn"":2,""com"":""1"",""total"":133},{""year"":""2023"",""us"":""140"",""fgn"":2,""com"":""4"",""total"":146}]"
Real estate,2005,2012,Services (Other),$43K - $225K,Realty One Group,Realty One Group Inc.,#68,Ranked #63 last year,"[{""year"":""2013"",""us"":""20"",""fgn"":0,""com"":""20"",""total"":40},{""year"":""2014"",""us"":""20"",""fgn"":0,""com"":""20"",""total"":40},{""year"":""2015"",""us"":""37"",""fgn"":0,""com"":""31"",""total"":68},{""year"":""2016"",""us"":""56"",""fgn"":0,""com"":""23"",""total"":79},{""year"":""2017"",""us"":""60"",""fgn"":0,""com"":""23"",""total"":83},{""year"":""2018"",""us"":""99"",""fgn"":0,""com"":""21"",""total"":120},{""year"":""2019"",""us"":""140"",""fgn"":2,""com"":""11"",""total"":153},{""year"":""2020"",""us"":""191"",""fgn"":4,""com"":""14"",""total"":209},{""year"":""2021"",""us"":""267"",""fgn"":5,""com"":""12"",""total"":284},{""year"":""2022"",""us"":""323"",""fgn"":9,""com"":""12"",""total"":344}]"
Travel agencies,1991,1992,Recreation,$2K - $21K,Dream Vacations,World Travel Holdings,#67,Ranked #82 last year,"[{""year"":""2013"",""us"":""940"",""fgn"":3,""com"":""0"",""total"":943},{""year"":""2014"",""us"":""987"",""fgn"":3,""com"":""0"",""total"":990},{""year"":""2015"",""us"":""1007"",""fgn"":3,""com"":""0"",""total"":1010},{""year"":""2016"",""us"":""1087"",""fgn"":3,""com"":""0"",""total"":1090},{""year"":""2017"",""us"":""1116"",""fgn"":3,""com"":""0"",""total"":1119},{""year"":""2018"",""us"":""1328"",""fgn"":3,""com"":""0"",""total"":1331},{""year"":""2019"",""us"":""1429"",""fgn"":3,""com"":""0"",""total"":1432},{""year"":""2020"",""us"":""1551"",""fgn"":2,""com"":""0"",""total"":1553},{""year"":""2021"",""us"":""1487"",""fgn"":2,""com"":""0"",""total"":1489},{""year"":""2022"",""us"":""1616"",""fgn"":2,""com"":""0"",""total"":1618}]"
Salon suites,2010,2012,Personal-Care Businesses,$686K - $1.8M,My Salon Suite,Propelled Brands,#66,Ranked #62 last year,"[{""year"":""2013"",""us"":""6"",""fgn"":1,""com"":""4"",""total"":11},{""year"":""2014"",""us"":""16"",""fgn"":1,""com"":""4"",""total"":21},{""year"":""2015"",""us"":""26"",""fgn"":1,""com"":""25"",""total"":52},{""year"":""2016"",""us"":""29"",""fgn"":1,""com"":""25"",""total"":55},{""year"":""2017"",""us"":""39"",""fgn"":1,""com"":""24"",""total"":64},{""year"":""2018"",""us"":""69"",""fgn"":1,""com"":""25"",""total"":95},{""year"":""2019"",""us"":""99"",""fgn"":1,""com"":""29"",""total"":129},{""year"":""2020"",""us"":""142"",""fgn"":1,""com"":""29"",""total"":172},{""year"":""2021"",""us"":""176"",""fgn"":1,""com"":""30"",""total"":207},{""year"":""2022"",""us"":""212"",""fgn"":1,""com"":""30"",""total"":243}]"
"Home buying, repair, and selling",1996,1996,Services (Other),$80K - $456K,HomeVestors of America,Bayview MSR Opportunity Master Fund LP,#65,Ranked #35 last year,"[{""year"":""2013"",""us"":""393"",""fgn"":0,""com"":""0"",""total"":393},{""year"":""2014"",""us"":""544"",""fgn"":0,""com"":""0"",""total"":544},{""year"":""2015"",""us"":""605"",""fgn"":0,""com"":""0"",""total"":605},{""year"":""2016"",""us"":""724"",""fgn"":0,""com"":""0"",""total"":724},{""year"":""2017"",""us"":""851"",""fgn"":0,""com"":""0"",""total"":851},{""year"":""2018"",""us"":""980"",""fgn"":0,""com"":""0"",""total"":980},{""year"":""2019"",""us"":""1102"",""fgn"":0,""com"":""0"",""total"":1102},{""year"":""2020"",""us"":""1122"",""fgn"":0,""com"":""0"",""total"":1122},{""year"":""2021"",""us"":""1154"",""fgn"":0,""com"":""0"",""total"":1154},{""year"":""2022"",""us"":""1155"",""fgn"":0,""com"":""0"",""total"":1155}]"
Residential and commercial tree and plant care services,2006,2012,Maintenance,$422K - $568K,Monster Tree Service,Authority Brands,#64,Ranked #67 last year,"[{""year"":""2018"",""us"":""22"",""fgn"":0,""com"":""4"",""total"":26},{""year"":""2019"",""us"":""52"",""fgn"":0,""com"":""4"",""total"":56},{""year"":""2020"",""us"":""148"",""fgn"":0,""com"":""4"",""total"":152},{""year"":""2021"",""us"":""214"",""fgn"":0,""com"":""4"",""total"":218},{""year"":""2022"",""us"":""248"",""fgn"":0,""com"":""5"",""total"":253}]"
"Flexible staffing, recruiting, workforce management solutions",1946,1956,Business Services,$143K - $352K,Spherion Staffing & Recruiting,Randstad North America,#63,Ranked #71 last year,"[{""year"":""2013"",""us"":""146"",""fgn"":0,""com"":""0"",""total"":146},{""year"":""2014"",""us"":""150"",""fgn"":0,""com"":""0"",""total"":150},{""year"":""2015"",""us"":""157"",""fgn"":0,""com"":""0"",""total"":157},{""year"":""2016"",""us"":""184"",""fgn"":0,""com"":""0"",""total"":184},{""year"":""2017"",""us"":""182"",""fgn"":0,""com"":""0"",""total"":182},{""year"":""2018"",""us"":""181"",""fgn"":0,""com"":""0"",""total"":181},{""year"":""2019"",""us"":""193"",""fgn"":0,""com"":""0"",""total"":193},{""year"":""2020"",""us"":""197"",""fgn"":0,""com"":""0"",""total"":197},{""year"":""2021"",""us"":""198"",""fgn"":0,""com"":""0"",""total"":198},{""year"":""2022"",""us"":""215"",""fgn"":0,""com"":""0"",""total"":215}]"
